file,priority,rawInput,rawSelect,rawTextarea,inlineStyle,arbitraryZ,manualPalette,createPortal,rawTable,TextField,SelectField,TextareaField,SearchableSelectField,AppSearchField,ModalField,DialogShell,AppModal,DataTableShell,ManagementDirectoryTable
components/SmsBulkTestModal.tsx,P2,0,0,0,0,0,59,0,0,1,1,0,0,0,0,0,0,0,0
pages/reports/PhoneSalesReport.tsx,P2,0,0,0,0,0,58,0,1,0,1,0,0,1,0,0,0,1,0
pages/ReportsLayout.tsx,P2,1,0,0,0,0,57,0,0,0,0,0,0,0,0,2,0,0,0
components/reports/HiddenProfitSection.tsx,P2,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
components/ReportSchedulePanel.tsx,P2,2,0,0,0,0,56,0,1,0,1,0,0,0,0,0,0,0,0
components/reports/PricingRecommendationsSection.tsx,P2,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
components/SmsTestRecipientAllowlistCard.tsx,P2,0,0,0,0,0,54,0,0,2,0,0,0,0,0,0,0,0,0
components/reports/mlOperator/MlOperatorFinalConsolidationLock.tsx,P2,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
components/SidebarItem.tsx,P2,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/mlWorkbenchImportDashboard/MetadataImportTrendRegressionPanel.tsx,P2,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/mlOperator/MlOperatorDetailSections.tsx,P2,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
components/CartSummary.tsx,P2,0,0,0,0,0,49,0,0,0,0,1,1,0,0,0,0,0,0
components/reports/mlWorkbenchImportDashboard/MetadataImportAnnotationSearchPanel.tsx,P2,0,0,0,0,0,49,0,0,4,3,0,0,0,0,0,0,0,0
components/reports/mlWorkbenchImportDashboard/MetadataImportConsistencyHeatmapPanel.tsx,P2,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerDetailHeaderSection.tsx,P2,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/mlWorkbenchImportDashboard/MetadataImportDetailDrawer.tsx,P2,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/mlWorkbenchImportDashboard/MetadataImportComparisonPanel.tsx,P2,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/mlWorkbenchImportDashboard/MetadataImportSavedViewUsagePanel.tsx,P2,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
pages/reports/SalesProfit.tsx,P2,1,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,0
components/reports/SuspiciousAuditSection.tsx,P2,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
components/people/PartnerDirectoryList.tsx,P2,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,1
components/reports/mlOperator/MlOperatorCards.tsx,P2,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
components/FinancialStatusBadge.tsx,P2,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/SalesAgentLeadCard.tsx,P2,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
components/main-layout/NavigationReturnBar.tsx,P2,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
pages/reports/ProductMargins.tsx,P2,0,0,0,0,0,41,0,1,1,1,0,0,0,0,0,0,0,0
pages/customerDetail/CustomerPurchaseHistoryPrintSection.tsx,P2,0,0,0,9,0,39,0,2,0,0,0,0,0,0,0,0,1,0
components/reports/mlOperator/MlOperatorSavedViewsPanel.tsx,P2,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
