file,category,domain,bytes,kb,lines,selectors,important_count,css_import_count,import_order,risk_score,risk_level,risk_reasons
styles/runtime-overrides/01a4-people-detail-repair-header-filters.css,runtime-override,"People, Header, Repairs, Filters",9653,9.43,373,52,181,0,99,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/01a5-partner-command-detail-refinement.css,runtime-override,Partners,14404,14.07,321,87,265,0,100,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css,runtime-override,Filters,4131,4.03,145,19,83,0,101,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/01a7-shared-primitives-button-system.css,runtime-override,Buttons,10410,10.17,315,29,144,0,102,8,high,runtime override imported after index.css; very high !important count; active imported CSS
styles/components/unified-fields.css,component-shared,Forms/Inputs,16024,15.65,523,51,127,0,103,4,low,very high !important count; active imported CSS
styles/runtime-overrides/01b-people-foundation-after-fields.css,runtime-override,"People, Forms/Inputs",16643,16.25,508,100,123,0,104,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/02a-reports-apple-minimal.css,runtime-override,Reports,8647,8.44,267,44,32,0,105,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/02b-settings-telegram-compact.css,runtime-override,"Telegram, Settings",8758,8.55,237,32,90,0,106,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/02c-repairs-apple-commercial.css,runtime-override,Repairs,14967,14.62,547,78,151,0,107,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/02d-services-inventory-polish.css,runtime-override,Inventory,9839,9.61,406,57,96,0,108,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/02e-people-commercial-redesign.css,runtime-override,People,15123,14.77,535,59,187,0,109,8,high,runtime override imported after index.css; very high !important count; active imported CSS
styles/runtime-overrides/02f-notifications-commercial-redesign.css,runtime-override,General/System,8196,8.0,329,52,57,0,110,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/02g-telegram-real-compact-patch.css,runtime-override,Telegram,6563,6.41,270,39,78,0,111,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03a-global-commercial-qa.css,runtime-override,General/System,8692,8.49,275,28,50,0,112,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/03b-reports-mobile-settings-smoke.css,runtime-override,"Reports, Settings",4082,3.99,126,19,40,0,113,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03c-notifications-sidebar-smartbrain.css,runtime-override,Sidebar,7279,7.11,234,36,76,0,114,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03d-legacy-telegram-monitor-patches.css,runtime-override,Telegram,25449,24.85,991,147,439,0,115,13,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css,runtime-override,"Sidebar, Dashboard, Settings",16883,16.49,428,64,170,0,116,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03f-stable-panels-dashboard-clock.css,runtime-override,"Dashboard, Tables",12747,12.45,350,50,99,0,117,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/04a-people-empty-states.css,runtime-override,People,8152,7.96,372,52,2,0,118,5,medium,runtime override imported after index.css; active imported CSS
styles/runtime-overrides/04b-people-list-unification.css,runtime-override,People,13375,13.06,468,55,151,0,119,8,high,runtime override imported after index.css; very high !important count; active imported CSS
styles/runtime-overrides/04c-people-detail-pages.css,runtime-override,People,14653,14.31,422,67,175,0,120,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/04d-people-add-edit-modals.css,runtime-override,"People, Modals",8173,7.98,289,45,105,0,121,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/04e-people-finance-transaction-modals.css,runtime-override,"People, Modals",9477,9.25,388,51,24,0,122,7,medium,runtime override imported after index.css; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/04f-partner-phone-product-settlement.css,runtime-override,"Mobile Phones, Partners, Products",2670,2.61,117,18,0,0,123,7,medium,runtime override imported after index.css; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/04g-partner-settlement-timeline-ledger.css,runtime-override,Partners,12702,12.4,521,74,4,0,124,7,medium,runtime override imported after index.css; medium selector surface; active imported CSS
styles/runtime-overrides/05-mobile-phones.css,runtime-override,Mobile Phones,20040,19.57,782,135,112,0,125,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/06a-enterprise-actions-fields-validation.css,runtime-override,Forms/Inputs,17159,16.76,408,83,86,0,126,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/06b-horizontal-forms-modals-header.css,runtime-override,"Modals, Header",4578,4.47,202,32,6,0,127,7,medium,runtime override imported after index.css; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/06c-reports-consolidation-filters.css,runtime-override,"Reports, Filters",13317,13.0,561,83,18,0,128,9,high,runtime override imported after index.css; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/06d-kpi-navigation-density-mobile.css,runtime-override,Navigation,12813,12.51,543,76,94,0,129,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css,runtime-override,General/System,12587,12.29,388,74,56,0,130,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
