selector,occurrences,file_count,files
#telegram-settings-form .telegram-studio-mini-card::after,5,4,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css | styles/runtime-overrides/09d5-telegram-lower-stat-cards.css | styles/runtime-overrides/09d6-telegram-lower-mini-cards-search.css
body,5,3,index.css | styles/layout/print.css | styles/legacy-monolith.css
.modal-surface,5,3,styles/components/cards.css | styles/legacy-monolith.css | styles/runtime-overrides/03f-stable-panels-dashboard-clock.css
.premium-modal-badge,5,3,styles/components/cards.css | styles/components/modals.css | styles/components/badges.css
.inventory-premium-select,5,3,styles/components/cards.css | styles/legacy-monolith.css | styles/components/unified-fields.css
.report-action-btn,5,3,styles/components/filters.css | styles/legacy-monolith.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
.kpi-value,5,3,styles/pages/reports.css | styles/legacy-monolith.css | styles/components/badges.css
.ux-nav-compact li > button:hover > div,5,3,styles/pages/telegram.css | styles/legacy-monolith.css | styles/layout/sidebar-chrome.css
.ux-nav-compact li > a:hover > div,5,3,styles/pages/telegram.css | styles/legacy-monolith.css | styles/layout/sidebar-chrome.css
html.dark .ux-nav-compact li > button:hover > div,5,3,styles/pages/telegram.css | styles/legacy-monolith.css | styles/layout/sidebar-chrome.css
html.dark .ux-nav-compact li > a:hover > div,5,3,styles/pages/telegram.css | styles/legacy-monolith.css | styles/layout/sidebar-chrome.css
#telegram-settings-form .tg-apple-check-row__body,5,3,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-check-row__icon,5,3,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
.partners-mobile-card,5,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/04b-people-list-unification.css
.detail-page-shell,5,3,styles/legacy-monolith.css | styles/runtime-overrides/02c-repairs-apple-commercial.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.ux-btn-xs,5,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.ux-btn-sm,5,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.ux-btn-lg,5,3,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.customers-hero-badge,5,3,styles/legacy-monolith.css | styles/components/badges.css | styles/runtime-overrides/01a2-people-page-hero-lists.css
.premium-form-section-header,5,3,styles/legacy-monolith.css | styles/components/forms.css | styles/components/modals.css
.header-search-quick,5,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10e-header-final-polish.css
.header-search-submit,5,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10e-header-final-polish.css
.header-search-shell,5,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10e-header-final-polish.css
.header-search-input,5,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10e-header-final-polish.css
.installment-form-page .installment-clean-select,5,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.installment-form-page select.installment-clean-select,5,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.people-top-nav__item,5,3,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.settings-sidebar .settings-tab-item,5,3,styles/runtime-overrides/01a3-settings-adaptive-sidebar-cleanup.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.settings-sidebar .settings-tab-icon,5,3,styles/runtime-overrides/01a3-settings-adaptive-sidebar-cleanup.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
